Puzzle Difficulty,Elapsed Time (ns)
0.284,507916
0.321,611489
0.272,1626237
0.296,124651
0.284,110338
0.259,861369
0.284,644653
0.284,167892
0.309,436294
0.296,1462729
0.272,1189291
0.284,2521483
0.210,20984168
0.284,1040771
0.284,457021
0.284,97915
0.284,5588789
0.284,2666834
0.296,706521
0.296,1985508
0.296,287904
0.272,3132289
0.333,592903
0.284,2741108
0.296,644590
0.284,1949331
0.284,1798570
0.309,612239
0.284,215455
0.272,3164791
0.309,289791
0.272,1505789
0.284,8030886
0.259,221966
0.259,1619217
0.284,1342218
0.309,984861
0.284,3207076
0.284,465410
0.309,936025
0.296,746312
0.296,1312107
0.284,1253534
0.296,411789
0.284,3861860
0.272,172532
0.284,1503166
0.210,642151
0.284,645863
0.284,1072469
0.296,743924
0.284,1532970
0.309,163726
0.296,1745483
0.296,3251853
0.272,158650
0.309,243989
0.259,1592207
0.296,2942680
0.309,1559862
0.296,1058613
0.272,429256
0.272,8586183
0.321,159830
0.296,808095
0.272,6563217
0.210,1040187
0.259,483337
0.309,766390
0.284,1236380
0.272,2636913
0.284,1252468
0.296,2323225
0.284,1711685
0.284,869703
0.309,919431
0.296,2608927
0.296,239506
0.284,987846
0.296,3811518
0.272,1296984
0.309,1288326
0.296,444683
0.296,516031
0.296,948354
0.284,1101168
0.296,5113003
0.284,387229
0.321,456581
0.272,4315408
0.296,3554009
0.309,439779
0.309,559382
0.309,695016
0.284,1914798
0.309,3325118
0.284,237638
0.284,806819
0.321,1397395
0.210,3275197
0.284,2348045
0.284,6873679
0.309,1672932
0.321,1475427
0.272,4676559
0.296,2870403
0.259,7492232
0.259,2102698
0.296,1302670
0.210,74713206
0.309,1032734
0.296,848238
0.284,1238948
0.284,858635
0.309,166955
0.296,2301927
0.296,940117
0.296,748940
0.284,795342
0.296,381624
0.296,950889
0.272,3204280
0.296,1136609
0.296,630705
0.284,984975
0.296,1725923
0.284,1708074
0.284,3544172
0.321,237018
0.296,848330
0.284,2010215
0.296,935079
0.309,290602
0.284,1081785
0.272,1118039
0.321,1032429
0.272,972065
0.210,258756
0.309,453176
0.259,849090
0.272,173530
0.309,580431
