Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.691358,1.000000,2987463.000000
0.691358,1.000000,656828.000000
0.691358,1.000000,51988.000000
0.691358,1.000000,399582.000000
0.691358,1.000000,671621.000000
0.691358,1.000000,1256105.000000
0.691358,1.000000,724621.000000
0.691358,1.000000,817925.000000
0.691358,1.000000,547881.000000
0.691358,1.000000,2088205.000000
0.691358,1.000000,38344.000000
0.691358,1.000000,5827422.000000
0.691358,1.000000,3079983.000000
0.691358,1.000000,3133937.000000
0.691358,1.000000,6583854.000000
0.691358,1.000000,93175.000000
0.691358,1.000000,1468827.000000
0.691358,1.000000,401980.000000
0.691358,1.000000,35960.000000
0.691358,1.000000,4209194.000000
0.691358,1.000000,1069998.000000
0.691358,1.000000,1426512.000000
0.691358,1.000000,851826.000000
0.691358,1.000000,169724.000000
0.691358,1.000000,803628.000000
0.691358,1.000000,61924.000000
0.691358,1.000000,397144.000000
0.691358,1.000000,702982.000000
0.691358,1.000000,336623.000000
0.691358,1.000000,141563.000000
0.691358,1.000000,60453.000000
0.691358,1.000000,169736.000000
0.691358,1.000000,18722.000000
0.691358,1.000000,58740.000000
0.691358,1.000000,2160637.000000
0.691358,1.000000,3718760.000000
0.691358,1.000000,740639.000000
0.691358,1.000000,535920.000000
0.691358,1.000000,686797.000000
0.691358,1.000000,161181.000000
0.691358,1.000000,680128.000000
0.691358,1.000000,363647.000000
0.691358,1.000000,1314542.000000
0.691358,1.000000,680779.000000
0.691358,1.000000,118323.000000
0.691358,1.000000,79362.000000
0.691358,1.000000,51635.000000
0.691358,1.000000,66133.000000
0.691358,1.000000,71038.000000
0.691358,1.000000,52905.000000
0.691358,1.000000,1388459.000000
0.691358,1.000000,1337606.000000
0.691358,1.000000,536149.000000
0.691358,1.000000,14550890.000000
0.691358,1.000000,51295747.000000
0.691358,1.000000,258648.000000
0.691358,1.000000,128930.000000
0.691358,1.000000,438568.000000
0.691358,1.000000,10560374.000000
0.691358,1.000000,30343.000000
0.691358,1.000000,4966884.000000
0.691358,1.000000,1280820.000000
0.691358,1.000000,1023728.000000
0.691358,1.000000,1408246.000000
0.691358,1.000000,1362498.000000
0.691358,1.000000,2097852.000000
0.691358,1.000000,2445892.000000
0.691358,1.000000,1286991.000000
0.691358,1.000000,2366452.000000
0.691358,1.000000,2426845.000000
0.691358,1.000000,894564.000000
0.691358,1.000000,234012.000000
0.691358,1.000000,3940500.000000
0.691358,1.000000,353817.000000
0.691358,1.000000,145481.000000
0.691358,1.000000,461463.000000
0.691358,1.000000,1283727.000000
0.691358,1.000000,96361.000000
0.691358,1.000000,3802170.000000
0.691358,1.000000,84546.000000
0.691358,1.000000,54099.000000
0.691358,1.000000,4624334.000000
0.691358,1.000000,1056919.000000
0.691358,1.000000,1482655.000000
0.691358,1.000000,280774.000000
0.691358,1.000000,4554556.000000
0.691358,1.000000,16973.000000
0.691358,1.000000,21734.000000
0.691358,1.000000,1410230.000000
0.691358,1.000000,446118.000000
0.691358,1.000000,1148655.000000
0.691358,1.000000,415789.000000
0.691358,1.000000,90401.000000
0.691358,1.000000,302299.000000
0.691358,1.000000,487168.000000
0.691358,1.000000,818494.000000
0.691358,1.000000,155868.000000
0.691358,1.000000,121828.000000
0.691358,1.000000,5177260.000000
0.691358,1.000000,812646.000000
0.691358,1.000000,2548138.000000
0.691358,1.000000,2188335.000000
0.691358,1.000000,454921.000000
0.691358,1.000000,132993.000000
0.691358,1.000000,716828.000000
0.691358,1.000000,548933.000000
0.691358,1.000000,583024.000000
0.691358,1.000000,334632.000000
0.691358,1.000000,99102.000000
0.691358,1.000000,2047324.000000
0.691358,1.000000,1179962.000000
0.679012,1.000000,3536050.000000
0.679012,1.000000,1347743.000000
0.679012,1.000000,1327038.000000
0.679012,1.000000,233536.000000
0.679012,1.000000,266945.000000
0.679012,1.000000,63511.000000
0.679012,1.000000,6946533.000000
0.679012,1.000000,105929.000000
0.679012,1.000000,122707.000000
0.679012,1.000000,142952.000000
0.679012,1.000000,244418.000000
0.679012,1.000000,1033449.000000
0.679012,1.000000,74900.000000
0.679012,1.000000,112606.000000
0.679012,1.000000,1466654.000000
0.679012,1.000000,698490.000000
0.679012,1.000000,141787.000000
0.679012,1.000000,5281958.000000
0.679012,1.000000,587359.000000
0.679012,1.000000,200722.000000
0.679012,1.000000,330727.000000
0.679012,1.000000,586016.000000
0.679012,1.000000,873578.000000
0.679012,1.000000,26205.000000
0.679012,1.000000,240582.000000
0.679012,1.000000,2169397.000000
0.679012,1.000000,1166606.000000
0.679012,1.000000,5458188.000000
0.679012,1.000000,464092.000000
0.679012,1.000000,237688.000000
0.679012,1.000000,1232632.000000
0.679012,1.000000,901309.000000
0.679012,1.000000,78485.000000
0.679012,1.000000,1831051.000000
0.679012,1.000000,287524.000000
0.679012,1.000000,27041.000000
0.679012,1.000000,20033.000000
0.679012,1.000000,3880379.000000
0.679012,1.000000,1728027.000000
0.679012,1.000000,371357.000000
0.679012,1.000000,81106.000000
0.679012,1.000000,652625.000000
0.679012,1.000000,588593.000000
0.679012,1.000000,810127.000000
0.679012,1.000000,1752604.000000
0.679012,1.000000,51742.000000
0.679012,1.000000,364282.000000
0.679012,1.000000,1995948.000000
0.679012,1.000000,36432.000000
0.679012,1.000000,7693496.000000
0.679012,1.000000,1210670.000000
0.679012,1.000000,64596.000000
0.679012,1.000000,482302.000000
0.679012,1.000000,678994.000000
0.679012,1.000000,1207956.000000
0.679012,1.000000,2922865.000000
0.679012,1.000000,1592543.000000
0.679012,1.000000,1052497.000000
0.679012,1.000000,796943.000000
0.679012,1.000000,421190.000000
0.679012,1.000000,338878.000000
0.679012,1.000000,126741.000000
0.679012,1.000000,651254.000000
0.679012,1.000000,111700.000000
0.679012,1.000000,641393.000000
0.679012,1.000000,1438012.000000
0.679012,1.000000,359710.000000
0.679012,1.000000,19498.000000
0.679012,1.000000,172157.000000
0.679012,1.000000,290425.000000
0.679012,1.000000,933279.000000
0.679012,1.000000,196652.000000
0.679012,1.000000,457468.000000
0.679012,1.000000,295256.000000
0.679012,1.000000,295550.000000
0.679012,1.000000,819968.000000
0.679012,1.000000,297461.000000
0.679012,1.000000,1677354.000000
0.679012,1.000000,664061.000000
0.679012,1.000000,946493.000000
0.679012,1.000000,696511.000000
0.679012,1.000000,76077.000000
0.679012,1.000000,156048.000000
0.679012,1.000000,73165.000000
0.679012,1.000000,119591.000000
0.679012,1.000000,336082.000000
0.679012,1.000000,16476.000000
0.679012,1.000000,503826.000000
0.679012,1.000000,994929.000000
0.679012,1.000000,262845.000000
0.679012,1.000000,3705042.000000
0.679012,1.000000,103399.000000
0.679012,1.000000,101994.000000
0.679012,1.000000,1131735.000000
0.679012,1.000000,223715.000000
0.679012,1.000000,3095446.000000
0.679012,1.000000,764359.000000
0.679012,1.000000,4045889.000000
0.679012,1.000000,205814.000000
0.679012,1.000000,416006.000000
0.679012,1.000000,573878.000000
0.679012,1.000000,574566.000000
0.679012,1.000000,3578858.000000
0.679012,1.000000,1554609.000000
0.679012,1.000000,21919.000000
0.679012,1.000000,451956.000000
0.679012,1.000000,577998.000000
0.679012,1.000000,1111099.000000
0.679012,1.000000,403009.000000
0.679012,1.000000,27410.000000
0.679012,1.000000,186118.000000
0.679012,1.000000,1013525.000000
0.679012,1.000000,472300.000000
0.679012,1.000000,757043.000000
0.679012,1.000000,2178280.000000
0.679012,1.000000,26688.000000
0.679012,1.000000,938352.000000
0.679012,1.000000,446709.000000
0.679012,1.000000,684506.000000
0.679012,1.000000,938611.000000
0.679012,1.000000,65976.000000
0.679012,1.000000,52752.000000
0.679012,1.000000,740682.000000
0.679012,1.000000,17529.000000
0.679012,1.000000,146704.000000
0.679012,1.000000,333736.000000
0.679012,1.000000,469880.000000
0.679012,1.000000,837574.000000
0.679012,1.000000,32882.000000
0.679012,1.000000,850984.000000
0.679012,1.000000,287109.000000
0.679012,1.000000,1424790.000000
